Unnamed: 0,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore,novi_first
102,"  (0, 0)	1.0",3,0,"  (0, 1)	1.0",1,1,1,yes,3.0,1,0,87,92,91,1
103,"  (0, 1)	1.0",1,2,"  (0, 1)	1.0",0,1,1,no,3.0,1,0,61,44,48,0
104,"  (0, 1)	1.0",5,4,"  (0, 1)	1.0",0,1,1,yes,1.0,1,2,100,88,94,1
105,"  (0, 0)	1.0",2,4,"  (0, 1)	1.0",1,1,2,yes,0.0,1,0,58,67,72,1
106,"  (0, 0)	1.0",3,3,"  (0, 1)	1.0",1,1,2,no,3.0,0,0,87,100,100,0
107,"  (0, 1)	1.0",4,6,"  (0, 1)	1.0",0,2,2,yes,0.0,1,0,66,63,64,1
108,"  (0, 0)	1.0",1,0,"  (0, 0)	1.0",1,1,2,yes,2.0,1,0,52,76,70,1
109,"  (0, 0)	1.0",1,5,"  (0, 1)	1.0",1,2,1,no,3.0,1,0,72,64,73,0
110,"  (0, 0)	1.0",3,0,"  (0, 0)	1.0",0,2,2,yes,4.0,1,2,79,90,99,1
111,"  (0, 1)	1.0",2,2,"  (0, 1)	1.0",1,2,1,no,6.0,2,0,63,55,50,0
112,"  (0, 1)	1.0",0,0,"  (0, 1)	1.0",1,1,2,yes,0.0,1,0,54,53,47,1
113,"  (0, 0)	1.0",3,4,"  (0, 1)	1.0",1,1,0,yes,1.0,1,1,47,56,51,1
114,"  (0, 0)	1.0",4,1,"  (0, 1)	1.0",0,1,1,yes,3.0,1,1,98,99,100,1
115,"  (0, 1)	1.0",2,2,"  (0, 1)	1.0",1,1,2,yes,4.0,0,0,84,77,74,1
116,"  (0, 0)	1.0",1,1,"  (0, 0)	1.0",1,2,0,no,1.0,1,0,72,83,79,0
117,"  (0, 0)	1.0",3,1,"  (0, 1)	1.0",1,1,0,no,2.0,0,0,75,80,77,0
118,"  (0, 0)	1.0",3,5,"  (0, 1)	1.0",1,2,1,yes,0.0,0,2,54,64,63,1
119,"  (0, 0)	1.0",2,4,"  (0, 1)	1.0",1,0,2,no,3.0,1,0,55,69,65,0
120,"  (0, 0)	1.0",2,1,"  (0, 1)	1.0",0,1,0,yes,1.0,1,0,76,90,86,1
121,"  (0, 1)	1.0",1,0,"  (0, 1)	1.0",0,1,2,yes,3.0,1,1,88,87,90,1
122,"  (0, 0)	1.0",2,4,"  (0, 1)	1.0",0,2,1,yes,1.0,2,0,90,94,95,1
123,"  (0, 1)	1.0",3,2,"  (0, 0)	1.0",1,1,2,no,3.0,0,0,63,57,56,0
124,"  (0, 1)	1.0",4,4,"  (0, 1)	1.0",1,2,1,no,3.0,1,1,82,79,73,0
125,"  (0, 0)	1.0",1,2,"  (0, 1)	1.0",1,2,0,yes,2.0,1,2,86,94,85,1
127,"  (0, 1)	1.0",3,4,"  (0, 1)	1.0",2,1,1,no,3.0,1,1,64,76,74,0
128,"  (0, 1)	1.0",3,3,"  (0, 1)	1.0",1,2,0,yes,2.0,0,1,77,81,72,1
129,"  (0, 0)	1.0",0,1,"  (0, 1)	1.0",1,1,1,yes,0.0,1,0,52,49,52,1
130,"  (0, 1)	1.0",3,3,"  (0, 1)	1.0",1,2,2,no,1.0,1,1,87,84,82,0
131,"  (0, 1)	1.0",2,5,"  (0, 0)	1.0",0,2,1,yes,1.0,0,1,52,36,40,1
132,"  (0, 1)	1.0",5,4,"  (0, 0)	1.0",0,1,1,yes,2.0,1,0,89,75,71,1
133,"  (0, 0)	1.0",5,4,"  (0, 1)	1.0",0,1,0,nein,6.0,2,1,70,78,80,0
134,"  (0, 1)	1.0",3,1,"  (0, 0)	1.0",0,1,2,yes,1.0,0,2,76,80,76,1
135,"  (0, 1)	1.0",2,1,"  (0, 1)	1.0",1,1,2,yes,1.0,2,1,56,54,47,1
136,"  (0, 1)	1.0",1,5,"  (0, 1)	1.0",0,0,2,yes,1.0,0,0,51,54,41,1
137,"  (0, 1)	1.0",4,2,"  (0, 1)	1.0",1,0,2,yes,0.0,1,1,67,54,54,1
138,"  (0, 0)	1.0",2,0,"  (0, 1)	1.0",2,1,2,yes,1.0,0,0,59,66,67,1
139,"  (0, 1)	1.0",3,4,"  (0, 1)	1.0",0,1,2,yes,0.0,0,2,73,61,70,1
140,"  (0, 0)	1.0",3,5,"  (0, 1)	1.0",1,1,2,no,1.0,1,0,76,72,71,0
141,"  (0, 0)	1.0",2,4,"  (0, 0)	1.0",1,1,1,no,2.0,0,0,60,62,65,0
143,"  (0, 1)	1.0",0,2,"  (0, 1)	1.0",1,2,2,no,1.0,1,0,57,43,47,0
144,"  (0, 1)	1.0",3,4,"  (0, 1)	1.0",1,0,2,yes,3.0,0,2,90,74,79,1
145,"  (0, 0)	1.0",2,4,"  (0, 0)	1.0",1,2,1,yes,1.0,1,1,21,38,33,1
148,"  (0, 0)	1.0",3,1,"  (0, 1)	1.0",0,1,2,yes,1.0,0,1,65,73,79,1
149,"  (0, 1)	1.0",4,0,"  (0, 0)	1.0",0,1,1,nope,3.0,0,0,100,100,95,0
150,"  (0, 1)	1.0",0,5,"  (0, 1)	1.0",0,1,2,no,2.0,0,0,62,67,69,0
152,"  (0, 0)	1.0",1,0,"  (0, 1)	1.0",0,2,2,yes,2.0,1,1,57,68,64,1
153,"  (0, 1)	1.0",3,1,"  (0, 1)	1.0",1,1,2,no,1.0,2,0,54,49,47,0
154,"  (0, 1)	1.0",3,5,"  (0, 1)	1.0",1,2,0,no,2.0,2,1,58,65,58,0
155,"  (0, 0)	1.0",2,4,"  (0, 1)	1.0",0,1,1,yes,3.0,1,1,69,88,88,1
156,"  (0, 0)	1.0",4,2,"  (0, 0)	1.0",0,1,1,yes,1.0,1,0,67,75,79,1
157,"  (0, 1)	1.0",1,6,"  (0, 0)	1.0",1,1,2,si,2.0,1,1,58,59,58,1
158,"  (0, 0)	1.0",1,0,"  (0, 1)	1.0",2,0,1,yes,2.0,0,0,62,87,89,1
159,"  (0, 1)	1.0",3,0,"  (0, 0)	1.0",1,1,1,no,3.0,1,2,70,63,66,0
160,"  (0, 1)	1.0",1,0,"  (0, 0)	1.0",0,2,2,yes,2.0,0,0,82,78,74,1
161,"  (0, 0)	1.0",4,4,"  (0, 0)	1.0",0,1,2,yes,3.0,1,0,75,88,85,1
162,"  (0, 1)	1.0",1,3,"  (0, 0)	1.0",1,2,0,no,2.0,1,0,48,53,52,0
163,"  (0, 1)	1.0",2,2,"  (0, 1)	1.0",1,0,2,yes,1.0,1,0,52,53,49,1
164,"  (0, 0)	1.0",4,3,"  (0, 1)	1.0",1,1,0,yes,3.0,0,1,76,89,86,1
165,"  (0, 0)	1.0",2,1,"  (0, 1)	1.0",0,1,2,yes,0.0,1,0,96,100,100,1
166,"  (0, 1)	1.0",2,2,"  (0, 0)	1.0",0,2,2,yes,5.0,0,0,53,51,51,1
167,"  (0, 0)	1.0",1,3,"  (0, 0)	1.0",0,1,1,no,1.0,0,2,62,79,83,0
168,"  (0, 0)	1.0",1,2,"  (0, 1)	1.0",0,1,1,yes,2.0,0,0,70,84,79,1
170,"  (0, 1)	1.0",0,2,"  (0, 1)	1.0",0,0,1,yes,5.0,1,2,76,75,77,1
171,"  (0, 1)	1.0",4,5,"  (0, 1)	1.0",1,1,2,no,3.0,1,1,91,86,76,0
172,"  (0, 0)	1.0",3,4,"  (0, 1)	1.0",1,2,0,yes,3.0,1,0,76,84,78,1
173,"  (0, 0)	1.0",2,0,"  (0, 1)	1.0",1,1,2,yes,2.0,1,0,63,67,70,1
174,"  (0, 0)	1.0",2,1,"  (0, 0)	1.0",0,1,2,no,1.0,1,1,41,50,52,0
175,"  (0, 0)	1.0",2,3,"  (0, 1)	1.0",0,0,2,yes,1.0,1,0,81,92,89,1
176,"  (0, 0)	1.0",1,2,"  (0, 0)	1.0",0,1,2,no,2.0,1,1,44,53,56,0
177,"  (0, 0)	1.0",2,0,"  (0, 1)	1.0",0,1,1,yes,2.0,1,1,70,76,77,1
178,"  (0, 0)	1.0",1,3,"  (0, 0)	1.0",0,0,1,yes,2.0,1,0,54,72,65,1
179,"  (0, 0)	1.0",3,5,"  (0, 1)	1.0",0,0,1,yes,0.0,1,0,99,100,100,1
180,"  (0, 1)	1.0",2,3,"  (0, 0)	1.0",0,2,2,yes,2.0,0,1,60,68,75,1
181,"  (0, 0)	1.0",2,4,"  (0, 0)	1.0",1,2,2,yes,1.0,0,0,46,64,66,1
182,"  (0, 0)	1.0",4,2,"  (0, 1)	1.0",1,1,2,yes,3.0,0,0,50,50,47,1
183,"  (0, 0)	1.0",3,0,"  (0, 1)	1.0",1,2,2,no,2.0,0,1,63,67,68,0
185,"  (0, 1)	1.0",2,0,"  (0, 0)	1.0",0,1,0,yes,5.0,0,1,61,65,62,1
186,"  (0, 1)	1.0",4,2,"  (0, 1)	1.0",1,1,0,yes,1.0,1,1,75,73,62,1
187,"  (0, 1)	1.0",3,5,"  (0, 1)	1.0",0,1,2,no,4.0,0,0,62,66,68,0
188,"  (0, 1)	1.0",1,5,"  (0, 0)	1.0",1,1,1,no,3.0,1,1,47,51,45,0
189,"  (0, 0)	1.0",2,1,"  (0, 1)	1.0",1,2,2,yes,1.0,1,1,74,86,85,1
190,"  (0, 0)	1.0",4,0,"  (0, 1)	1.0",1,1,2,yes,2.0,1,0,66,65,69,1
191,"  (0, 1)	1.0",3,4,"  (0, 1)	1.0",0,1,2,no,2.0,1,1,73,81,77,0
192,"  (0, 0)	1.0",1,5,"  (0, 1)	1.0",1,2,2,no,3.0,0,0,62,64,66,0
193,"  (0, 1)	1.0",3,4,"  (0, 1)	1.0",0,1,1,yes,4.0,2,0,79,62,63,1
194,"  (0, 0)	1.0",2,3,"  (0, 1)	1.0",0,1,1,yes,1.0,1,1,69,85,87,1
195,"  (0, 1)	1.0",3,0,"  (0, 1)	1.0",1,1,1,no,4.0,1,1,60,54,52,0
196,"  (0, 1)	1.0",2,6,"  (0, 0)	1.0",0,1,0,yes,1.0,1,0,57,67,63,1
198,"  (0, 0)	1.0",1,4,"  (0, 0)	1.0",1,3,1,yes,3.0,2,2,47,54,57,1
199,"  (0, 0)	1.0",1,1,"  (0, 0)	1.0",2,1,1,yes,3.0,0,0,80,80,77,1
200,"  (0, 0)	1.0",2,0,"  (0, 1)	1.0",0,2,1,no,1.0,0,1,66,83,86,0
201,"  (0, 0)	1.0",3,4,"  (0, 0)	1.0",1,0,2,yes,3.0,1,1,63,79,75,1
202,"  (0, 1)	1.0",2,0,"  (0, 1)	1.0",1,1,2,yes,2.0,1,0,69,77,69,1
203,"  (0, 0)	1.0",5,0,"  (0, 1)	1.0",1,1,1,yes,2.0,1,0,58,70,69,1
204,"  (0, 1)	1.0",2,4,"  (0, 1)	1.0",1,2,1,yes,1.0,2,1,58,40,42,1
206,"  (0, 1)	1.0",4,1,"  (0, 1)	1.0",1,1,1,yes,4.0,1,0,84,62,63,1
207,"  (0, 1)	1.0",4,2,"  (0, 1)	1.0",0,1,1,no,2.0,1,0,83,81,77,0
208,"  (0, 0)	1.0",1,4,"  (0, 0)	1.0",1,1,1,yes,1.0,0,1,73,80,76,1
209,"  (0, 0)	1.0",1,4,"  (0, 0)	1.0",2,2,2,no,2.0,2,0,58,61,66,0
210,"  (0, 1)	1.0",3,5,"  (0, 0)	1.0",0,3,2,yes,3.0,1,1,77,77,77,1
211,"  (0, 1)	1.0",2,4,"  (0, 0)	1.0",2,1,2,yes,3.0,1,0,35,28,27,1
212,"  (0, 0)	1.0",2,2,"  (0, 0)	1.0",1,0,2,yes,2.0,1,0,42,62,60,1
213,"  (0, 1)	1.0",2,0,"  (0, 0)	1.0",0,2,1,no,1.0,1,0,61,51,57,0
214,"  (0, 1)	1.0",4,2,"  (0, 1)	1.0",2,1,2,yes,1.0,0,0,87,91,81,1
215,"  (0, 1)	1.0",1,5,"  (0, 1)	1.0",0,1,1,no,2.0,0,0,86,84,76,0
216,"  (0, 0)	1.0",4,0,"  (0, 0)	1.0",0,1,2,yes,3.0,1,1,80,84,86,1
217,"  (0, 0)	1.0",2,2,"  (0, 0)	1.0",2,1,1,no,3.0,2,1,33,41,39,0
218,"  (0, 1)	1.0",1,2,"  (0, 0)	1.0",1,1,2,no,2.0,1,1,64,75,68,0
219,"  (0, 1)	1.0",1,5,"  (0, 1)	1.0",0,2,0,no,1.0,2,0,59,55,54,0
220,"  (0, 0)	1.0",3,2,"  (0, 1)	1.0",0,3,1,yes,4.0,1,0,57,69,75,1
221,"  (0, 1)	1.0",1,0,"  (0, 1)	1.0",1,1,2,yes,0.0,1,2,89,86,74,1
222,"  (0, 0)	1.0",2,5,"  (0, 0)	1.0",2,0,2,no,3.0,2,0,55,65,62,0
223,"  (0, 1)	1.0",3,5,"  (0, 1)	1.0",1,1,1,no,3.0,1,0,88,81,76,0
225,"  (0, 0)	1.0",4,3,"  (0, 0)	1.0",1,1,2,no,2.0,0,1,43,55,52,0
226,"  (0, 0)	1.0",2,4,"  (0, 1)	1.0",1,1,2,yes,5.0,1,0,72,72,71,1
227,"  (0, 1)	1.0",3,2,"  (0, 1)	1.0",1,2,1,yes,0.0,1,0,58,50,55,1
228,"  (0, 1)	1.0",0,6,"  (0, 0)	1.0",1,0,2,no,26.0,1,0,68,72,64,0
229,"  (0, 0)	1.0",2,4,"  (0, 1)	1.0",0,1,1,yes,3.0,1,2,93,97,98,1
230,"  (0, 1)	1.0",3,4,"  (0, 1)	1.0",1,1,1,Yes,0.0,2,0,78,64,67,1
232,"  (0, 0)	1.0",1,1,"  (0, 1)	1.0",1,1,2,yes,2.0,1,0,67,86,83,1
233,"  (0, 1)	1.0",4,5,"  (0, 1)	1.0",1,0,2,yes,3.0,1,2,94,88,79,1
234,"  (0, 1)	1.0",2,1,"  (0, 1)	1.0",0,1,2,nein,3.0,1,2,85,83,85,0
235,"  (0, 1)	1.0",3,0,"  (0, 1)	1.0",1,1,1,yeah,1.0,1,2,84,77,80,1
236,"  (0, 1)	1.0",3,1,"  (0, 0)	1.0",1,0,1,no,2.0,1,1,62,65,67,0
237,"  (0, 0)	1.0",3,5,"  (0, 1)	1.0",2,1,2,yes,4.0,1,1,62,59,72,1
238,"  (0, 1)	1.0",1,4,"  (0, 1)	1.0",1,1,1,yes,2.0,0,2,57,53,53,1
239,"  (0, 1)	1.0",2,0,"  (0, 1)	1.0",1,1,2,yes,1.0,0,0,84,80,80,1
241,"  (0, 0)	1.0",4,1,"  (0, 1)	1.0",1,2,1,no,4.0,0,0,82,84,85,0
243,"  (0, 1)	1.0",4,4,"  (0, 1)	1.0",2,2,1,no,2.0,1,1,58,50,43,0
244,"  (0, 1)	1.0",3,5,"  (0, 1)	1.0",1,0,1,yes,1.0,1,1,74,73,69,1
245,"  (0, 1)	1.0",2,0,"  (0, 1)	1.0",1,1,2,no,3.0,0,1,82,74,69,0
246,"  (0, 1)	1.0",4,0,"  (0, 1)	1.0",2,1,1,no,2.0,1,0,91,77,75,0
247,"  (0, 0)	1.0",1,2,"  (0, 1)	1.0",0,2,2,yes,1.0,0,0,58,70,68,1
248,"  (0, 0)	1.0",1,2,"  (0, 1)	1.0",1,1,2,yes,2.0,0,1,63,63,60,1
249,"  (0, 1)	1.0",5,2,"  (0, 1)	1.0",1,1,2,no,2.0,1,2,70,60,54,0
250,"  (0, 1)	1.0",0,5,"  (0, 1)	1.0",0,2,2,yes,2.0,1,0,47,49,49,1
252,"  (0, 0)	1.0",1,5,"  (0, 1)	1.0",0,2,2,yes,3.0,0,0,60,70,70,1
253,"  (0, 1)	1.0",3,3,"  (0, 1)	1.0",1,1,2,no,3.0,1,0,80,80,72,0
254,"  (0, 1)	1.0",3,2,"  (0, 1)	1.0",1,1,2,yes,0.0,0,0,54,52,52,1
255,"  (0, 0)	1.0",4,4,"  (0, 1)	1.0",1,2,2,no,1.0,1,0,62,73,70,0
256,"  (0, 0)	1.0",2,0,"  (0, 0)	1.0",1,2,2,no,5.0,0,1,62,71,66,0
260,"  (0, 0)	1.0",2,5,"  (0, 0)	1.0",0,1,2,yes,1.0,0,2,65,80,78,1
261,"  (0, 1)	1.0",2,4,"  (0, 1)	1.0",0,1,2,no,2.0,1,0,79,79,78,0
262,"  (0, 0)	1.0",2,5,"  (0, 0)	1.0",1,1,1,no,2.0,0,0,45,50,52,0
263,"  (0, 0)	1.0",4,2,"  (0, 1)	1.0",1,2,2,yes,1.0,0,0,99,93,90,1
264,"  (0, 1)	1.0",3,2,"  (0, 1)	1.0",1,1,2,no,2.0,0,0,76,73,68,0
265,"  (0, 1)	1.0",3,5,"  (0, 0)	1.0",1,0,2,no,1.0,1,1,57,41,40,0
266,"  (0, 0)	1.0",5,1,"  (0, 1)	1.0",1,1,2,no,2.0,1,1,61,73,79,0
267,"  (0, 0)	1.0",3,2,"  (0, 1)	1.0",1,1,1,no,3.0,1,0,71,73,78,0
268,"  (0, 0)	1.0",3,0,"  (0, 1)	1.0",0,1,1,yes,5.0,1,2,93,94,99,1
269,"  (0, 0)	1.0",4,4,"  (0, 0)	1.0",1,1,2,no,2.0,1,0,71,76,70,0
270,"  (0, 1)	1.0",2,1,"  (0, 1)	1.0",1,1,2,yes,2.0,1,0,69,63,61,1
271,"  (0, 1)	1.0",2,4,"  (0, 1)	1.0",2,2,1,yes,1.0,2,1,57,48,42,1
